Temp (K),Model,Density (kg/m^3),Coordination no.,Dielectric constant,H-Bonds per molecule,Self-Diffusion (×10^-5 cm^2/s),Self-Diffusion uncertainty
298,SPC,967.047,5.32,65.361,3.457,4.3507,0.0503
298,SPC/E,989.241,4.77,70.8847,3.594,2.6009,0.0257
298,TIP3P,974.808,5.94,97.9297,3.337,5.9088,0.0546
298,TIP4P,993.807,5.06,51.8287,3.549,3.5999,0.1027
320,SPC,949.777,5.66,61.4641,3.341,5.9857,0.0452
320,SPC/E,976.584,4.99,69.4682,3.495,4.1377,0.1081
320,TIP3P,954.148,6.1,91.0317,3.218,7.8701,0.0998
320,TIP4P,979.595,5.29,50.4766,3.437,5.4662,0.0875
340,SPC,931.577,5.89,59.9624,3.228,8.0608,0.099
340,SPC/E,962.369,5.2,66.8455,3.399,5.5547,0.0176
340,TIP3P,932.98,6.62,82.699,3.108,9.8986,0.3139
340,TIP4P,963.571,5.51,49.2146,3.332,7.3002,0.1638
360,SPC,911.374,6.1,56.9843,3.121,10.1703,0.0391
360,SPC/E,946.294,5.39,64.605,3.298,7.269,0.1519
360,TIP3P,909.981,6.77,76.5731,2.991,12.2776,0.0819
360,TIP4P,944.988,5.73,48.1109,3.223,9.2321,0.0233
Experimental,,997.0,4.7,78.3,3.5--4.0,2.3,
